id,name,thread
202,Page 1 (Black),"Even after the noise from the radio had stopped I could only stand there,paralyzed in utter amazement among their corpses.Is Cheryl all right?She shouldn't have been carrying anything that could be used as a weapon."
203,"Page 2 (School hallway, dark)",I begin running.I can't just stand around.There is not a moment to lose.Cheryl is waiting for me.Wait a minute.Suddenly my vision became hazy or something and I rubbed my eyes.
204,Page 3,"When I look back...I see that all the bodies of the monsters have unexpectedly vanished.""What...""Was I hallucinating or something?..............................第四章　　「小学校」「ボイラー室へ」Chapter 4   ""Elementary School""To the boiler room"
205,Page 4,I pull the guide map out of my inner pocket and shine the flashlight on it.And then I confirm that there is a boiler room located in the basement.My feet naturally began to take me there.
206,Page 5 (Animated stairs),I descend the stairs to the basement taking one step at a time.A school building without light.As I move forward I am beset on all sides by absolute darkness.As I head towards new fear and new enemies my feet have no intention ofstopping their advance.
207,Page 6,"But oddly enough I don't have a sense of justice.I just want to make sure that Cheryl is safe, to catch her in my arms...That is my only goal.第四章　　「小学校」「停止したボイラー」Chapter 4   ""Elementary School""The stopped boiler"
208,Page 7 (Boilers),"The boiler is not running.If I simply press the switch in front of me then this eerie machine shouldbegin operating.However, I just stand still.第四章　　「小学校」「配電盤の操作」Chapter 4   ""Elementary School""Operating the switchboard"
209,Page 8,I try pushing the switch but the boiler doesn't do anything at all.So I try opening the switchboard cover below the switch.
210,Page 9,It appears that I must somehow supply power from the main power supply to theboiler.
211,Page 10,The power supply is on the right.From the left of the switchboard a thick pipe extends out and is connected tothe boiler...(Boiler Switchboard Game)
212,Page 11,"""Got it..."""
213,Page 12,I have an instinctive feeling that by pushing this switch that somethingoutrageous may happen.
214,Page 13,"Although at the same time I also notice my daughter Cheryl's scream runthrough my heart, like a sense of duty that makes me feel that I must pushthe switch."
215,Page 14,I slowly push the switch in.The entire school building shudders as if it were a giant ship.The entire elementary school building appears as if it has been swallowed byCheryl's heart as she stands alone in the darkness.
216,Page 15,"I understand that I must do something.""To the courtyard.""The darkness softly whispers to me.第四章　　「小学校」「時計台」Chapter 4   ""Elementary School""The clock tower"
217,Page 16 (Clock tower base),The clock tower looks to be about tall enough to reach the third floor of theschool. At its base there is a small door about big enough for an adult toenter while bent down.
218,Page 17,"The door solemnly opened.After opening, the door seems to beckon the one standing in front of it toenter with an irresistible mental energy.I cannot resist that power.As I enter the door closes with a hopeless thunder."
219,Page 18 (Black),"Inside the clock tower a physiologically loathsome stench hung in the air.However, the smile of my beloved daughter in my heart lessens my uneasinessand lets me forget my fear, if even for only a moment."
220,Page 19,"Reassured, I place my foot on the ladder leading underground, with mygreatest motive, called love."
221,Page 20,"The inside finally became a small passage about large enough for an adult.I run.Trusting that I will see her smile ahead, I run forward stomping on concretestained with the smell of death."
222,Page 21,"Once I climb the ladder at the end of the tunnel, there will be no going back.I mutter Cheryl's name one more time."
223,Go to 5-1,"_______________________________________________________________________________第五章　　「急変」　　　　　　　　      　　　　　　　　　　　　　　　　　  5-1奇怪な紋様                                                   (Clock tower base)Chapter 5   ""Sudden Change""The mysterious design"
224,Page 1 (Clock tower base),"The depressing sound of the door closing echoes throughout the courtyard.""...Where am I?"""
225,Page 2,"A raw, warm breeze brushes past my cheeks.The view lets me know that this is like a completely different world from theschool I was just in.Once I again I think, where am I?"
226,Page 3 (Mark of Samael in courtyard),"I descend the small stairs leading away from the clock tower and become evenmore convinced.An extremely religious-looking design has been drawn in the center of thecourtyard.Within a large double circle a triangle has been placed, and within that astrange pattern that looks like hieroglyphics is drawn."
227,Page 4,"""Hmm, I don't remember this being here before.""I mutter.This is definitely the school I was just in.The placement of the trees, and the construction of the building..."
228,Page 5,"However, an overpowering feeling of nausea rises up throughout my body.A revolting horrible smell, like that of the stench of cutting into rottenmeat, thickly wafts throughout the air, and is nearly visible to the eye."
229,Page 6,"I begin to run. I can no longer bear to stay in this spot.By the time I place my hand on the door that leads inside the school buildingI no longer have the strength left to tell how long I was running.Maybe it was only for an instant?第五章　　「急変」「変貌した校舎」Chapter 5   ""Sudden Change""The transformed school building"
230,Page 7 (Nightmare school hallway),The school building has dramatically changed.Metal grated floors...Blood covered walls...Corpse-like puppets hanging everywhere...It's like a nightmarish scene in which everything is isolated from the realworld.
